mean_temp,max_temp,min_temp,LOESS_residuals
-20.025000000000002,-16.33,-23.03,-4.8292429332832185
-15.195833333333333,-5.64,-22.49,-1.4306585616276486
-10.642083333333334,-3.28,-16.55,1.1682158743818292
-11.774166666666666,-6.76,-16.72,-2.371705256312925
-15.053333333333333,-9.85,-19.02,-3.984884079693092
-11.303333333333333,-6.22,-16.33,1.659168543891484
-14.757916666666667,-9.69,-19.96,-0.978532871752062
-14.090000000000002,-2.03,-21.19,-1.3776059163709267
-9.883750000000001,-0.6,-17.22,1.2152750908754548
-9.586666666666668,-4.45,-14.57,-1.0218911771072197
-3.3983333333333334,4.01,-10.5,2.13509912955812
-0.7837500000000001,4.49,-6.03,5.958432255846748
-13.427083333333334,-7.31,-19.2,-5.3453204126681735
-13.235416666666666,-4.31,-17.36,-4.338236694815126
-6.117916666666667,2.58,-11.9,1.6477735025907094
-2.970416666666667,3.5,-8.1,4.11475528721392
-4.755,2.47,-11.92,0.19511500766179424
-2.2416666666666667,2.32,-6.17,-0.1181410427755516
-5.453749999999999,0.62,-12.14,-1.404235409545282
-4.539166666666667,-0.41,-7.67,1.9423631832914738
-3.2283333333333335,3.68,-8.26,5.145124637400408
-5.908333333333334,-0.28,-12.14,1.3988227020442183
-13.686250000000001,-6.5,-20.06,-4.0540785546930795
-7.57125,1.15,-13.57,1.5576886610251615
-7.275416666666666,-4.21,-10.34,0.2930593682606286
-11.277083333333332,-8.35,-13.79,-0.07653076500701772
-13.495833333333332,-8.39,-19.15,-0.3703824334444086
-17.407083333333333,-9.02,-24.47,-2.690932581597517
-14.561250000000001,-11.68,-18.93,-0.45508546669862504
-17.847916666666666,-13.3,-23.78,-2.618569985959452
-16.635416666666668,-6.42,-23.8,-3.608827594429295
-10.949583333333335,-3.02,-17.66,0.15748835503829284
-12.849166666666667,-5.47,-21.22,0.17527908240912993
-10.392083333333334,-3.58,-16.56,0.6819853947631369
-11.01375,-4.13,-15.66,-0.5058563503357032
-10.23,-0.95,-18.02,-1.6907399340561682
-5.09375,-1.5,-9.44,1.4932788198799791
-4.54125,3.6,-11.45,-0.3400041037766437
-3.513333333333333,2.07,-7.43,-0.23180623390150412
-4.165416666666666,4.94,-10.87,1.0810553295251686
-1.7470833333333333,5.06,-7.68,1.2263120572656
-0.7875,8.25,-8.11,1.112557181369079
-0.60375,8.52,-6.87,0.36975541586654137
3.1275,13.29,-3.81,2.23725562945072
5.1762500000000005,13.94,-2.26,4.826896737421255
-2.2095833333333332,9.42,-6.83,-1.0599586049607344
-7.8125,-0.39,-12.27,-3.2696071602714265
-5.8975,3.28,-12.28,-1.6299511691287085
-2.7558333333333334,6.31,-8.89,0.6413665088763816
-1.7308333333333332,7.96,-9.51,0.8007536640389517
-1.2566666666666666,4.5,-8.4,-0.7843678784329375
-3.32375,5.48,-8.97,-2.376674969581384
-2.1145833333333335,4.07,-7.43,-0.004049054390374174
-5.056666666666667,2.14,-11.0,-0.1408528092000476
-4.5975,2.36,-9.77,0.8329523282330165
-1.9262499999999998,8.92,-8.88,1.4125164021314158
0.2724999999999999,8.54,-7.73,1.5818622256812227
0.6220833333333333,6.82,-1.36,-0.03841440819712738
-2.7204166666666665,4.24,-8.58,-2.576930365228893
-1.3412499999999998,6.97,-9.17,-0.5421918642125676
-0.42750000000000005,5.86,-6.0,3.0915192843477026
-5.024166666666667,-0.3,-9.54,-0.0925178979894572
-6.854166666666667,1.36,-14.57,-4.261324709841499
-3.0766666666666667,5.74,-10.03,-2.0176066797860033
2.290833333333333,8.75,-3.97,1.7843678213853655
5.215833333333333,11.6,0.51,5.130927436181121
2.855,11.58,-0.72,2.542509071233532
-4.848333333333334,-1.36,-7.84,-3.4977192482093686
-7.27875,4.17,-16.5,-4.449601496195861
0.39083333333333337,10.25,-7.63,1.8075549191696025
0.2824999999999999,10.72,-9.27,1.486040969512123
0.06583333333333326,10.36,-5.16,-0.4580611775068475
-1.0420833333333335,7.31,-9.27,-2.7284225875262416
